MEDIA BUYER'S TRACKER,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LIVESTREAM DATE,TALENT'S NAME,FORMAT,LINK,VIEWS,,,,
2/24/2026,RENEJAY,Livestream,https://www.facebook.com/share/v/1Zmr7RHK8D/,"185,000",,,,
2/25/2026,RENEJAY,Livestream,https://www.facebook.com/share/v/1Dv84jprzG/,"181,000",,,,
2/25/2026,RENEJAY,Livestream,https://www.facebook.com/share/v/1Aa2GxHMFM/,"197,000",,,,
2/26/2026,RENEJAY,Livestream,https://www.facebook.com/share/v/1DehciKRoS/,"206,000",,,,
2/27/2026,RENEJAY,Livestream,https://www.facebook.com/share/v/1CRpRrMeaE/,"212,000",,,,
2/28/2026,RENEJAY,Livestream,https://www.facebook.com/share/v/18jNfyTJFy/,"151,000",,,,
2/1/2026,H2WO,Livestream,https://www.facebook.com/share/v/184UmS3V5W/,"190,000",,,,
2/2/2026,H2WO,Livestream,https://www.facebook.com/share/v/17AdRc8Spw/,"276,000",,,,
2/4/2026,H2WO,Livestream,https://www.facebook.com/share/v/1Ajspkrcs1/,"180,000",,,,
2/5/2026,H2WO,Livestream,https://www.facebook.com/share/v/17HXXFDHYr/,"218,000",,,,
2/5/2026,H2WO,Livestream,https://www.facebook.com/share/v/1DeyaRFAoJ/,"193,000",,,,
2/7/2026,H2WO,Livestream,https://www.facebook.com/share/v/1GiLNQvhCa/,"222,000",,,,
2/11/2026,H2WO,Livestream,https://www.facebook.com/share/v/175BUjhbfM/,"54,000",,,,
2/12/2026,H2WO,Livestream,https://www.facebook.com/share/v/1AZkLypnjt/,"184,000",,,,
2/12/2026,H2WO,Livestream,https://www.facebook.com/share/v/18FmhsbAr3/,"30,000",,,,
2/12/2026,H2WO,Livestream,https://www.facebook.com/share/v/1DTGri1S2C/,"209,000",,,,
2/13/2026,H2WO,Livestream,https://www.facebook.com/share/v/18Eg1bH5qD/,"152,000",,,,
2/13/2026,H2WO,Livestream,https://www.facebook.com/share/v/18AQRPbkaB/,"219,000",,,,
2/15/2026,H2WO,Livestream,https://www.facebook.com/share/v/1LKpdcApKH/,"198,000",,,,
2/15/2026,H2WO,Livestream,https://www.facebook.com/share/v/1F7SipPkii/,"249,000",,,,
2/16/2026,H2WO,Livestream,https://www.facebook.com/share/v/1KJwxsEvzK/,"34,000",,,,
2/16/2026,H2WO,Livestream,https://www.facebook.com/share/v/1CPuoXi6aK/,"249,000",,,,
2/17/2026,H2WO,Livestream,https://www.facebook.com/share/v/186jSyRDP8/,"240,000",,,,
2/18/2026,H2WO,Livestream,https://www.facebook.com/share/v/1XJ7hBKuTS/,"163,000",,,,
2/19/2026,H2WO,Livestream,https://www.facebook.com/share/v/1FSmRA43NF/,"210,000",,,,
