MEDIA BUYER'S TRACKER,,,,,,,TALENT MANAGER'S TRACKER,,,,,,DELIVERABLES TRACKER,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LIVESTREAM DATE,TALENT'S NAME,FORMAT,LIVESTREAM LINK,AD TRACKING LINK,COST,,TALENT'S NAME,DATE,TIME,,,,TALENT'S NAME,REELS,LIVESTREAM
1/29/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/3294398284067818,https://wfl-88.net/r/NeggyAD/reg,"₱3,000.00",,Boss Wrecker ,1/27/2026,11:14 PM,,,,,,
1/29/2026,Neggy,Reels,https://www.facebook.com/reel/1377157194447705,https://wfl-88.net/r/NEGGYREELS/reg,"₱3,000.00",,NeggyTv,1/28/2026,1:46 PM,,,,,,
1/29/2026,Ghost Wrecker,Livestream,https://www.facebook.com/bosswrecker/videos/910286828186637,https://wfl-88.net/r/WreckerAD/reg,"₱3,000.00",,HolyFather,1/29/2026,10:31 AM,,,,,,
1/30/2026,Ato,Livestream,https://www.facebook.com/AtoClassSWorldwide/videos/2107283950029419,https://wfl-88.net/r/WflatoAD/reg,"₱3,000.00",,NeggyTv,1/29/2026,4:50 PM,,,,,,
1/30/2026,Jasoon,Livestream,"https://www.facebook.com/itsmeJ4soon/videos/922726767372793
",https://wfl-88.net/r/JasoonAD/reg,"₱3,000.00",,Boss Wrecker,1/29/2026,7:45 PM,,,,,,
1/30/2026,Holy Father,Livestream,https://www.facebook.com/100084497334397/videos/2086982632036110,https://wfl-88.net/r/HolyfatherAD/reg,"₱3,000.00",,HolyFather,1/30/2026,11:00 AM,,,,,,
1/31/2026,Holy Father,Livestream,https://www.facebook.com/100084497334397/videos/888757614052533,https://wfl-88.net/r/HolyfatherAD/reg,"₱3,000.00",,Ato Class S Worldwide,1/30/2026,2:50 AM,,,,,,
1/31/2026,Jasoon,Livestream,https://www.facebook.com/itsmeJ4soon/videos/1505662780497529,https://wfl-88.net/r/JasoonAD/reg,"₱3,000.00",,jasoon,1/30/2026,7:00 PM,,,,,,
2/1/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/1258035249540221,https://wfl-88.net/r/NeggyAD/reg,"₱3,000.00",,HolyFather,1/30/2026,11:00 PM,,,,,,
2/1/2026,Aether,Reels,https://www.facebook.com/reel/1482004456832877,https://wfl-88.net/r/WOOLFYBETSREELS/reg,"₱3,000.00",,NeggyTV,1/31/2026,10:34 AM,,,,,,
2/1/2026,Jasoon,Reels,https://www.facebook.com/reel/857112140650785,https://wfl-88.net/r/JASOONREELS/reg,"₱3,000.00",,HolyFather,1/31/2026,11:17 AM,,,,,,
2/1/2026,Ato,Livestream,https://www.facebook.com/AtoClassSWorldwide/videos/1471895327613814,https://wfl-88.net/r/WflatoAD/reg,"₱3,000.00",,Jasoon,1/31/2026,1:55 PM,,,,,,
2/1/2026,Jasoon,Livestream,https://www.facebook.com/itsmeJ4soon/videos/1227233478814729,https://wfl-88.net/r/JasoonAD/reg,"₱3,000.00",,MONTH OF FEBRUARY ,,,,,,,,
2/2/2026,Aether,Livestream,https://www.facebook.com/TeamAetherEsports/videos/1468143128649664,https://wfl-88.net/r/WoolfybetsAD/reg,"₱3,000.00",,NeggyTv,2/1/2026,2:28 PM,,,,,,
2/2/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/2539091036487165,https://wfl-88.net/r/NeggyAD/reg,"₱3,000.00",,Ato Class S Worldwide,2/1/2026,8:43 PM,,,,,,
2/3/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/25551401257836303,https://wfl-88.net/r/NeggyAD/reg,"₱3,000.00",,Jasoon,2/1/2026,10:07 PM,,,,,,
2/3/2026,Neggy,Reels,https://www.facebook.com/reel/2138138830280360,https://wfl-88.net/r/NEGGYREELS/reg,"₱3,000.00",,Aether,2/2/2026,8:15 AM,,,,,,
2/3/2026,Jasoon,Livestream,https://www.facebook.com/itsmeJ4soon/videos/2126375441532235,https://wfl-88.net/r/JasoonAD/reg,"₱3,000.00",,NeggyTV,2/2/2026,5:32 PM,,,,,,
2/3/2026,Jasoon,Reels,https://www.facebook.com/reel/3880295828769349,https://wfl-88.net/r/JASOONREELS/reg,"₱3,000.00",,NeggyTV,2/3/2026,3:08 PM,,,,,,
2/5/2026,Aether,Reels,https://www.facebook.com/reel/946763107678686,https://wfl-88.net/r/WOOLFYBETSREELS/reg,"₱3,000.00",,Jasoon,2/3/2026,5:39 PM,,,,,,
2/5/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/1204921241628901,https://wfl-88.net/r/NeggyAD/reg,"₱3,000.00",,Jasoon,2/4/2026,2:36 PM,,,,,,
2/5/2026,APRIL JOY,Livestream,https://www.facebook.com/share/v/1HBeTE2hQY/?mibextid=wwXIfr, https://wfl-88.net/r/WFLAJAD/reg,"₱3,000.00",,NeggyTv,2/5/2026,1:58 PM,,,,,,
2/5/2026,Ghost Wrecker,Livestream,https://www.facebook.com/bosswrecker/videos/933610792682774,https://wfl-88.net/r/WreckerAD/reg,"₱3,000.00",,Boss Wrecker,2/5/2026,5:55 PM,,,,,,
2/5/2026,Jasoon,Livestream,https://www.facebook.com/100064343610389/videos/1590735218912899,https://wfl-88.net/r/JasoonAD/reg,"₱3,000.00",,Jasoon,2/5/2026,11:11 PM,,,,,,
2/6/2026,Ato,Reels,https://www.facebook.com/reel/1977286146503441,https://wfl-88.net/r/atoviews/reg,"₱3,000.00",,Boss Wrecker,2/6/2026,10:06 PM,,,,,,
2/6/2026,Jasoon,Reels,https://www.facebook.com/reel/2413183732437811,https://wfl-88.net/r/JASOONREELS/reg,"₱3,000.00",,NeggyTv,2/6/2026,2:40 PM,,,,,,
2/6/2026,April JoY,Reels,https://www.facebook.com/share/r/1BGKpevMck/?mibextid=wwXIfr, https://wfl-88.net/r/WFLAJREELS/reg,"₱3,000.00",,Aether ,2/7/2026,3:20 PM,,,,,,
2/7/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/2123963611475339,https://wfl-88.net/r/NeggyAD/reg,"₱3,000.00",,Jasoon,2/7/2026,9:28 PM,,,,,,
2/7/2026,Aether,Livestream,https://www.facebook.com/TeamAetherEsports/videos/1635276764148610,https://wfl-88.net/r/WoolfybetsAD/reg,"₱3,000.00",,Boss Wrecker,2/7/2026,9:49 PM,,,,,,
2/7/2026,Aether,Reels,https://www.facebook.com/reel/1989255735306528,https://wfl-88.net/r/WOOLFYBETSREELS/reg,"₱3,000.00",,Boss Wrecker,2/8/2026,7:48 PM,,,,,,
2/7/2026,Ghost Wrecker,Livestream,https://www.facebook.com/bosswrecker/videos/2050025072453651,https://wfl-88.net/r/WreckerAD/reg,"₱3,000.00",,NeggyTv,2/9/2026,1:55 PM,,,,,,
2/8/2026,Aether,Reels,https://www.facebook.com/reel/937831962018202,https://wfl-88.net/r/WOOLFYBETSREELS/reg,"₱3,000.00",,Boss Wrecker,2/9/2026,7:43 PM,,,,,,
2/8/2026,Ghost Wrecker,Livestream,https://www.facebook.com/bosswrecker/videos/1206776438268781,https://wfl-88.net/r/WreckerAD/reg,"₱10,000.00",,Boss Wrecker,2/9/2026,8:18 PM,,,,,,
2/9/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/1457249989083330/,https://wfl-88.net/r/NeggyAD/reg,"₱3,000.00",,NeggyTv,2/10/2026,3:00 PM,,,,,,
2/9/2026,Ghost Wrecker,Livestream,https://www.facebook.com/61571307990071/videos/933228102375994,https://wfl-88.net/r/WreckerAD/reg,"₱10,000.00",,Jasoon,2/11/2026,6:45 PM,,,,,,
2/10/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/903855852253730,https://wfl-88.net/r/NeggyAD/reg,"₱3,000.00",,NeggyTv,2/12/2026,2:55 PM,,,,,,
2/11/2026,Jasoon,Livestream,https://www.facebook.com/itsmeJ4soon/videos/750412531124301,https://wfl-88.net/r/JasoonAD/reg,"₱3,000.00",,Ato Class S Worldwide,2/12/2026,6:55 PM,,,,,,
2/12/2026,Jasoon,Reels,https://www.facebook.com/reel/1998982444327708,https://wfl-88.net/r/JASOONREELS/reg,"₱3,000.00",,NeggyTv,2/13/2026,5:55 PM,,,,,,
2/12/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/1429035578823633,https://wfl-88.net/r/NeggyAD/reg,"₱3,000.00",,Boss Wrecker,2/13/2026,9:19 PM,,,,,,
2/13/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/1589967252206600/,https://wfl-88.net/r/NeggyAD/reg,"₱2,000.00",,Boss Wrecker,2/13/2026,9:28 PM,,,,,,
2/13/2026,Ghost Wrecker,Livestream,https://www.facebook.com/bosswrecker/videos/907038708540027,https://wfl-88.net/r/WreckerAD/reg,"₱3,000.00",,Boss Wrecker ,2/14/2026,8:05 PM,,,,,,
2/14/2026,Ghost Wrecker,Livestream,https://www.facebook.com/bosswrecker/videos/1132890362176294/,https://wfl-88.net/r/WreckerAD/reg,"₱3,000.00",,NeggyTV,2/15/2026,4:15 PM,,,,,,
,,,,,,,Boss Wrecker ,2/15/2026,9:00 PM,,,,,,
2/15/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/890227746946813,https://wfl-88.net/r/NeggyAD/reg,"₱2,000.00",,NeggyTV,2/16/2026,6:10 PM,,,,,,
2/15/2026,Ghost Wrecker,Livestream,https://www.facebook.com/bosswrecker/videos/2049746839286698,https://wfl-88.net/r/WreckerAD/reg,"₱3,000.00",,Boss Wrecker ,2/16/2026,10:12 PM,,,,,,
2/16/2026,Neggy,Livestream,https://www.facebook.com/NeggyTvOfficial/videos/766124036116835/,https://wfl-88.net/r/NeggyAD/reg,"₱2,000.00",,HolyFather,2/17/2026,11:03 PM,,,,,,
2/16/2026,Ghost Wrecker,Livestream,https://www.facebook.com/bosswrecker/videos/25851082161208841,https://wfl-88.net/r/WreckerAD/reg,"₱3,000.00",,HolyFather,2/17/2026,1:15 PM,,,,,,
2/17/2026,Holy Father,Livestream,"https://www.facebook.com/100084497334397/videos/1847515289984612
",https://wfl-88.net/r/HolyfatherAD/reg,"₱2,000.00",,NeggyTv,2/17/2026,2:26 PM,,,,,,
2/17/2026,Holy Father,Reels,https://www.facebook.com/reel/1330995745434333,https://wfl-88.net/r/HOLYFATHERREELS/reg,"₱3,000.00",,Jasoon,2/17/2026,10:57 PM,,,,,,
