,,,,,,,,,
CHADKINIS&LP : END OF DAY REPORT ,,,,,,,,,
,,,,,,,,,
DAY,REGISTER,ACTIVE PL,VALID TURNOVER,WIN/LOSS,BONUS,NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,STATUS
20 Feb 2026,1,8,"28,829","1,020 ",10,"1,030 ","3,149","-3,554",SUCCESS
21 Feb 2026,3,7,"18,109","-5,586",41,"-5,545","5,001",0 ,SUCCESS
22 Feb 2026,1,6,"30,886","-1,681",30,"-1,651","2,550",0 ,SUCCESS
23 Feb 2026,3,9,"115,288","-103,834",110,"-103,724","103,300","-32,838",SUCCESS
24 Feb 2026,5,2,"10,399","5,559 ","1,280","6,839 ","1,700",0 ,SUCCESS
25 Feb 2026,2,9,"5,732","-1,722",56,"-1,666","1,091","-7,500",SUCCESS
26 Feb 2026,2,5,"14,840","-2,340",0,"-2,340","3,900",-800,PENDING
27 Feb 2026,,,,,,0 ,,,PENDING
28 Feb 2026,,,,,,0 ,,,PENDING
01 Mar 2026,,,,,,0 ,,,PENDING
02 Mar 2026,,,,,,0 ,,,PENDING
03 Mar 2026,,,,,,0 ,,,PENDING
04 Mar 2026,,,,,,0 ,,,PENDING
05 Mar 2026,,,,,,0 ,,,PENDING
06 Mar 2026,,,,,,0 ,,,PENDING
07 Mar 2026,,,,,,0 ,,,PENDING
08 Mar 2026,,,,,,0 ,,,PENDING
,TOTAL REGISTER,TOTAL ACTIVE PL,TOTAL VTO,TOTAL GGR,TOTAL FTD BONUS,TOTAL NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,OVERALL STATUS
Affiliates,60,191,"840,725","-327,052","2,469","-324,584","336,460","-118,569",96.00%
,,,,,,,,,
,,,,,,,,,
SAINTYMAXWIN : END OF DAY REPORT ,,,,,,,,,
,,,,,,,,,
DAY,REGISTER,ACTIVE PL,VALID TURNOVER,WIN/LOSS,BONUS,NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,STATUS
02 Feb 2026,5,84,"764,154","-28,426","15,946","-12,480","91,267","-107,742",SUCCESS
03 Feb 2026,8,78,"660,940","27,353 ","10,698","38,051 ","79,543","-73,717",SUCCESS
